,14,15-19,30-44,45-59,60-74,75
Innere Stadt,1724,2774,3150,3609,3088,2275
Leopoldstadt,15404,23239,26799,21117,13867,7843
Landstraße,12077,20172,24348,19003,13549,7607
Wieden,3944,7055,8116,6680,4986,2852
Margareten,6289,12753,14403,10661,7418,3494
Mariahilf,3067,7119,8076,6187,4546,2428
Neubau,3253,7189,8192,6193,4467,2287
Josefstadt,2489,6138,5818,4641,3544,2044
Alsergrund,4583,10644,10535,7483,5712,3249
Favoriten,35024,44612,50964,42978,29009,15828
Simmering,18697,21278,25012,22609,14407,7035
Meidling,14275,20665,23966,20054,13879,7442
Hietzing,7948,8244,11364,11627,8798,7587
Penzing,13628,16948,21752,20179,14986,9335
Rudolfsheim-Fünfhaus,9201,17314,19596,15105,10107,4786
Ottakring,13590,20877,24464,21152,14774,7587
Hernals,7696,10962,13473,11386,7999,4517
Währing,7029,9999,12125,10409,7057,4940
Döbling,10474,13334,15578,15355,11305,9471
Brigittenau,11929,18784,19925,17000,11715,6337
Floridsdorf,30839,33576,41006,37635,26065,14774
Donaustadt,35243,38974,47777,45852,29579,15233
Liesing,19229,19447,25828,23905,17586,11887
